Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Shape,Shape,0.0,0.0,24.0,0.0,0.0,0.0,1x4096x320,3,,1310720,3,5242880.0,0.0,24.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_q/MatMul,MatMul,102400.0,0.01,5652480.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320x320,1310720,1310720,5242880.0,409600.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_k/MatMul,MatMul,102400.0,0.01,5652480.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320x320,1310720,1310720,5242880.0,409600.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/to_v/MatMul,MatMul,102400.0,0.01,5652480.0,0.04,0.0,0.04,1x4096x320,1x4096x320,320x320,1310720,1310720,5242880.0,409600.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Shape_1,Shape,0.0,0.0,24.0,0.0,0.0,0.0,1x4096x320,3,,1310720,3,5242880.0,0.0,24.0
Constant_1535,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
Constant_1539,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_1,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat,Concat,0.0,0.0,32.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4,4,32.0,0.0,32.0
Constant_1542,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_2,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
