Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/layers.17/self_attn/Reshape_6,Reshape,0.0,0.0,8396800.0,0.047,0.0,0.0,0.0,0.0,0.047,"1x8x4x1025x128, 4",1x32x1025x128,,4198404.0,0.0,4198400.0,8396832.0,0.0,8396800.0,0.0,8.3968,8.3968
/model/layers.17/self_attn/Transpose_3,Transpose,0.0,0.0,,,0.0,0.0,,,,1x32x1025x128,1x32x128x1025,,4198400.0,0.0,4198400.0,8396800.0,,,,,
/model/layers.17/self_attn/MatMul,MatMul,0.0,0.0,65600.0,0.0,32800.0,0.0,0.5,0.0,0.0,"1x32x1x128, 1x32x128x1025",1x32x1x1025,,4202496.0,0.0,32800.0,8404992.0,0.0,65600.0,0.0,0.0656,0.0656
/model/layers.17/self_attn/Div_2,Div,0.0,0.0,,,32800.0,0.0,,,,1x32x1x1025,1x32x1x1025,,32800.0,0.0,32800.0,65600.0,,,,,
/model/layers.17/self_attn/Shape_14,Shape,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1x32x1025x128,4,,4198400.0,0.0,4.0,8396800.0,0.0,32.0,0.0,3.2e-05,3.2e-05
/model/layers.17/self_attn/Constant_56,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Constant_57,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Constant_58,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Unsqueeze_28,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/layers.17/self_attn/Constant_59,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Slice_4,Slice,0.0,0.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,"1x1x1x2048, 1, 1, 1, 1",1x1x1x1025,,2052.0,0.0,1025.0,4128.0,0.0,2050.0,0.0,0.00205,0.00205
/model/layers.17/self_attn/Add_2,Add,0.0,0.0,65600.0,0.0,32800.0,0.0,0.5,0.0,0.0,"1x32x1x1025, 1x1x1x1025",1x32x1x1025,,33825.0,0.0,32800.0,67650.0,0.0,65600.0,0.0,0.0656,0.0656
/model/layers.17/self_attn/Softmax,Softmax,0.0,0.0,,,98400.0,0.001,,,,1x32x1x1025,1x32x1x1025,,32800.0,0.0,32800.0,65600.0,,,,,
/model/layers.17/self_attn/MatMul_1,MatMul,0.0,0.0,8192.0,0.0,4096.0,0.0,0.5,0.0,0.0,"1x32x1x1025, 1x32x1025x128",1x32x1x128,,4231200.0,0.0,4096.0,8462400.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.17/self_attn/Transpose_4,Transpose,0.0,0.0,,,0.0,0.0,,,,1x32x1x128,1x1x32x128,,4096.0,0.0,4096.0,8192.0,,,,,
Constant_7148,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Unsqueeze_29,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_7150,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
