Node,Operation,Inputs Shape,Weights and Bias Shape,Output Shape,Weights and Bias Params Size,Output Params Size,Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Mul,Mul,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/norm3/Add_1,Add,1x4096x320,320,1x4096x320,320,1310720,1280,5242880
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/proj/MatMul,MatMul,1x4096x320,320x2560,1x4096x2560,819200,10485760,3276800,41943040
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/proj/Add,Add,1x4096x2560,2560,1x4096x2560,2560,10485760,10240,41943040
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Shape,Shape,1x4096x2560,,3,0,3,0,24
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Constant,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Gather,Gather,"3, 1",,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Constant_1,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Constant_2,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Add,Add,"1, 1",,1,0,1,0,8
/down_blocks.0/attentions.0/transformer_blocks.0/ff/net.0/Constant_3,Constant,,,1,0,1,0,8
